start training
[0/200][0/39]	Loss_D: 1.661532	Loss_g: 1.798116	D(x): 0.359500	D(G(z)): 0.347579 / 0.211675
[1/200][0/39]	Loss_D: 0.078839	Loss_g: 6.700979	D(x): 0.972059	D(G(z)): 0.046603 / 0.001678
[2/200][0/39]	Loss_D: 0.676310	Loss_g: 14.802483	D(x): 0.993746	D(G(z)): 0.434488 / 0.000001
[3/200][0/39]	Loss_D: 0.048790	Loss_g: 7.298050	D(x): 0.990164	D(G(z)): 0.037274 / 0.000953
[4/200][0/39]	Loss_D: 0.028454	Loss_g: 7.396903	D(x): 0.995221	D(G(z)): 0.023197 / 0.000812
[5/200][0/39]	Loss_D: 0.017070	Loss_g: 6.983324	D(x): 0.997104	D(G(z)): 0.013968 / 0.001235
[6/200][0/39]	Loss_D: 0.034039	Loss_g: 6.599022	D(x): 0.987605	D(G(z)): 0.009584 / 0.001689
[7/200][0/39]	Loss_D: 0.017285	Loss_g: 6.754908	D(x): 0.995810	D(G(z)): 0.012883 / 0.001371
[8/200][0/39]	Loss_D: 0.017584	Loss_g: 6.765340	D(x): 0.991952	D(G(z)): 0.008439 / 0.001313
[9/200][0/39]	Loss_D: 0.245577	Loss_g: 31.690893	D(x): 0.997393	D(G(z)): 0.212166 / 0.000000
[10/200][0/39]	Loss_D: 0.006674	Loss_g: 6.517951	D(x): 0.995434	D(G(z)): 0.002058 / 0.001512
[11/200][0/39]	Loss_D: 0.050054	Loss_g: 6.117201	D(x): 0.980506	D(G(z)): 0.026840 / 0.003061
[12/200][0/39]	Loss_D: 0.191742	Loss_g: 3.415952	D(x): 0.878018	D(G(z)): 0.043993 / 0.042288
[13/200][0/39]	Loss_D: 0.400869	Loss_g: 4.473011	D(x): 0.744958	D(G(z)): 0.002454 / 0.020297
[14/200][0/39]	Loss_D: 0.239457	Loss_g: 3.859788	D(x): 0.901685	D(G(z)): 0.106197 / 0.027631
[15/200][0/39]	Loss_D: 0.158115	Loss_g: 4.604663	D(x): 0.907535	D(G(z)): 0.033694 / 0.012126
[16/200][0/39]	Loss_D: 0.076201	Loss_g: 4.982489	D(x): 0.967040	D(G(z)): 0.037978 / 0.009234
[17/200][0/39]	Loss_D: 0.326025	Loss_g: 11.404087	D(x): 0.972819	D(G(z)): 0.233818 / 0.000013
[18/200][0/39]	Loss_D: 0.095328	Loss_g: 5.367383	D(x): 0.956845	D(G(z)): 0.045145 / 0.006870
[19/200][0/39]	Loss_D: 0.069499	Loss_g: 4.878551	D(x): 0.949974	D(G(z)): 0.012564 / 0.009323
[20/200][0/39]	Loss_D: 0.270664	Loss_g: 4.416214	D(x): 0.896473	D(G(z)): 0.129461 / 0.015241
[21/200][0/39]	Loss_D: 0.086090	Loss_g: 3.526107	D(x): 0.965111	D(G(z)): 0.047475 / 0.034660
[22/200][0/39]	Loss_D: 0.286637	Loss_g: 5.658381	D(x): 0.977793	D(G(z)): 0.222324 / 0.004190
[23/200][0/39]	Loss_D: 0.360357	Loss_g: 3.131774	D(x): 0.994127	D(G(z)): 0.266777 / 0.056624
[24/200][0/39]	Loss_D: 1.491326	Loss_g: 9.352217	D(x): 0.999414	D(G(z)): 0.735405 / 0.000137
[25/200][0/39]	Loss_D: 0.195216	Loss_g: 4.572002	D(x): 0.883304	D(G(z)): 0.053695 / 0.015106
[26/200][0/39]	Loss_D: 0.358373	Loss_g: 7.389985	D(x): 0.969231	D(G(z)): 0.264128 / 0.000849
[27/200][0/39]	Loss_D: 0.203864	Loss_g: 3.808846	D(x): 0.890907	D(G(z)): 0.070328 / 0.033589
